Player Name,Player Jersey Number,Player Position,Player Age,Player Weight (lbs.),Years Played,"Player Birthplace (city, town, etc.)",Player Birth State,Player Birthplace (Combo),Player College,Player Team,Conference,2016 Population Estimates (except where otherwise noted),State GEO ID,Full GEOID,Latitude (player birthplace),Longitude (player birthplace),Number from City,Number of Records,American FactFinder Link for more Census data points,Quickfacts Link,State Data Link,Source (Population States 2017),"Birthplace, Population Data Source"
James White,#28,RB,25.0,205.0,4,Fort Lauderdale,Florida,"Fort Lauderdale, Florida",Wisconsin,New England,AFC,"1,78,752",12.0,0400000US12,26.122308,-80.143379,2,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Fort Lauderdale city, Florida/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/FortLauderdalecityFlorida,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Florida/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Rex Burkhead,#34,RB,27.0,210.0,5,Plano,Texas,"Plano, Texas",Nebraska,New England,AFC,"2,86,057",48.0,0400000US48,33.013676,-96.69251,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Plano city, Texas/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/PlanocityTexas,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Texas/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Julian Edelman,#11,WR,31.0,200.0,9,Redwood City,California,"Redwood City, California",Kent State,New England,AFC,"84,950",6.0,0400000US06,37.485215,-122.236355,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Redwood City city, California/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/RedwoodCitycityCalifornia,https://factfinder.census.gov/bkmk/cf/1.0/en/state/California/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Jordan Richards,#37,S/SS,24.0,210.0,3,Sacramento,California,"Sacramento, California",Stanford,New England,AFC,"4,95,234",6.0,0400000US06,38.581572,-121.4944,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Sacramento city, California/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/SacramentocityCalifornia,https://factfinder.census.gov/bkmk/cf/1.0/en/state/California/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Malcolm Butler,#21,CB/LCB,27.0,190.0,4,Vicksburg,Mississippi,"Vicksburg, Mississippi",West Alabama,New England,AFC,"22,925",28.0,0400000US28,32.352842,-90.877734,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Vicksburg city, Mississippi/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/VicksburgcityMississippi,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Mississippi/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Mike Gillislee,#35,RB,27.0,219.0,5,DeLand,Florida,"DeLand, Florida",Florida,New England,AFC,"31,569",12.0,0400000US12,29.019515,-81.294142,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/DeLand city, Florida/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/DeLandcityFlorida,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Florida/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Dion Lewis,#33,RB/KR,27.0,195.0,6,Albany,New York,"Albany, New York",Pittsburgh,New England,AFC,"98,111",36.0,0400000US36,42.651167,-73.754968,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Albany city, New York/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/AlbanycityNewYork,https://factfinder.census.gov/bkmk/cf/1.0/en/state/New York/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Bernard Reedy,#17,WR,26.0,175.0,1,St. Petersburg,Florida,"St. Petersburg, Florida",Toledo,New England,AFC,"2,60,999",12.0,0400000US12,27.770861,-82.679266,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/St. Petersburg city, Florida/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/St.PetersburgcityFlorida,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Florida/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Elandon Roberts,#52,LB/RLB,23.0,235.0,2,Port Arthur,Texas,"Port Arthur, Texas",Houston,New England,AFC,"55,427",48.0,0400000US48,29.898826,-93.928781,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Port Arthur city, Texas/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/PortArthurcityTexas,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Texas/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Matthew Slater,#18,KR/WR,32.0,205.0,10,Orange,California,"Orange, California",UCLA,New England,AFC,"1,40,504",6.0,0400000US06,33.750038,-117.870493,2,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Orange city, California/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/OrangecityCalifornia,https://factfinder.census.gov/bkmk/cf/1.0/en/state/California/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
